travelCode,userCode,name,place,days,price,total,date
0,0,Hotel A,Florianopolis (SC),4,313.02,1252.08,09/26/2019
2,0,Hotel K,Salvador (BH),2,263.41,526.82,10/10/2019
7,0,Hotel K,Salvador (BH),3,263.41,790.23,11/14/2019
11,0,Hotel K,Salvador (BH),4,263.41,1053.64,12/12/2019
13,0,Hotel A,Florianopolis (SC),1,313.02,313.02,12/26/2019
15,0,Hotel BD,Natal (RN),2,242.88,485.76,01/09/2020
22,0,Hotel Z,Aracaju (SE),2,208.04,416.08,02/27/2020
29,0,Hotel AU,Recife (PE),4,312.83,1251.32,04/16/2020
32,0,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/07/2020
33,0,Hotel K,Salvador (BH),4,263.41,1053.64,05/14/2020
34,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/21/2020
38,0,Hotel BD,Natal (RN),2,242.88,485.76,06/18/2020
39,0,Hotel K,Salvador (BH),1,263.41,263.41,06/25/2020
42,0,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/16/2020
43,0,Hotel K,Salvador (BH),4,263.41,1053.64,07/23/2020
45,0,Hotel BD,Natal (RN),1,242.88,242.88,08/06/2020
51,0,Hotel K,Salvador (BH),1,263.41,263.41,09/17/2020
53,0,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/01/2020
54,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/08/2020
55,0,Hotel A,Florianopolis (SC),2,313.02,626.04,10/15/2020
57,0,Hotel Z,Aracaju (SE),4,208.04,832.16,10/29/2020
60,0,Hotel Z,Aracaju (SE),4,208.04,832.16,11/19/2020
65,0,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/24/2020
73,0,Hotel BP,Brasilia (DF),4,247.62,990.48,02/18/2021
81,0,Hotel BD,Natal (RN),4,242.88,971.52,04/15/2021
86,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/20/2021
87,0,Hotel AU,Recife (PE),1,312.83,312.83,05/27/2021
90,1,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/03/2019
92,1,Hotel BP,Brasilia (DF),1,247.62,247.62,10/17/2019
100,2,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/31/2019
101,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,11/07/2019
105,2,Hotel Z,Aracaju (SE),4,208.04,832.16,12/05/2019
108,2,Hotel AU,Recife (PE),3,312.83,938.49,12/26/2019
109,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,01/02/2020
110,2,Hotel K,Salvador (BH),1,263.41,263.41,01/09/2020
112,2,Hotel AF,Sao Paulo (SP),4,139.1,556.4,01/23/2020
116,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/20/2020
117,2,Hotel AU,Recife (PE),2,312.83,625.66,02/27/2020
119,2,Hotel K,Salvador (BH),2,263.41,526.82,03/12/2020
122,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/02/2020
124,2,Hotel Z,Aracaju (SE),3,208.04,624.12,04/16/2020
125,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/23/2020
135,2,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/02/2020
137,2,Hotel A,Florianopolis (SC),3,313.02,939.06,07/16/2020
150,2,Hotel Z,Aracaju (SE),2,208.04,416.08,10/15/2020
153,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,11/05/2020
156,2,Hotel BP,Brasilia (DF),2,247.62,495.24,11/26/2020
160,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,12/24/2020
165,2,Hotel BD,Natal (RN),3,242.88,728.64,01/28/2021
177,2,Hotel Z,Aracaju (SE),2,208.04,416.08,04/22/2021
180,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,05/13/2021
187,2,Hotel Z,Aracaju (SE),3,208.04,624.12,07/01/2021
188,2,Hotel AF,Sao Paulo (SP),2,139.1,278.2,07/08/2021
189,2,Hotel K,Salvador (BH),4,263.41,1053.64,07/15/2021
192,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/05/2021
197,2,Hotel A,Florianopolis (SC),3,313.02,939.06,09/09/2021
201,2,Hotel A,Florianopolis (SC),2,313.02,626.04,10/07/2021
205,2,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/04/2021
211,2,Hotel Z,Aracaju (SE),3,208.04,624.12,12/16/2021
213,2,Hotel K,Salvador (BH),3,263.41,790.23,12/30/2021
214,2,Hotel AU,Recife (PE),1,312.83,312.83,01/06/2022
219,2,Hotel A,Florianopolis (SC),2,313.02,626.04,02/10/2022
221,2,Hotel K,Salvador (BH),1,263.41,263.41,02/24/2022
224,2,Hotel BP,Brasilia (DF),3,247.62,742.86,03/17/2022
225,2,Hotel BD,Natal (RN),4,242.88,971.52,03/24/2022
233,3,Hotel A,Florianopolis (SC),2,313.02,626.04,11/14/2019
235,3,Hotel A,Florianopolis (SC),3,313.02,939.06,11/28/2019
238,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/19/2019
239,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/26/2019
240,3,Hotel BP,Brasilia (DF),4,247.62,990.48,01/02/2020
241,3,Hotel A,Florianopolis (SC),1,313.02,313.02,01/09/2020
243,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,01/23/2020
244,3,Hotel AU,Recife (PE),4,312.83,1251.32,01/30/2020
246,3,Hotel AU,Recife (PE),2,312.83,625.66,02/13/2020
248,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/27/2020
255,3,Hotel A,Florianopolis (SC),1,313.02,313.02,04/16/2020
259,3,Hotel BD,Natal (RN),2,242.88,485.76,05/14/2020
263,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,06/11/2020
269,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,07/23/2020
275,3,Hotel BD,Natal (RN),2,242.88,485.76,09/03/2020
279,3,Hotel BD,Natal (RN),1,242.88,242.88,10/01/2020
283,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/29/2020
287,3,Hotel AU,Recife (PE),1,312.83,312.83,11/26/2020
290,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,12/17/2020
291,3,Hotel K,Salvador (BH),1,263.41,263.41,12/24/2020
295,3,Hotel BD,Natal (RN),4,242.88,971.52,01/21/2021
296,3,Hotel AU,Recife (PE),3,312.83,938.49,01/28/2021
299,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/18/2021
300,3,Hotel K,Salvador (BH),3,263.41,790.23,02/25/2021
303,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,03/18/2021
305,3,Hotel BD,Natal (RN),4,242.88,971.52,04/01/2021
306,3,Hotel A,Florianopolis (SC),3,313.02,939.06,04/08/2021
307,3,Hotel BD,Natal (RN),2,242.88,485.76,04/15/2021
311,3,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/13/2021
315,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,06/10/2021
322,3,Hotel BD,Natal (RN),1,242.88,242.88,07/29/2021
