id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27934,Condo in Samsen Nai · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,120437,Nuttee,,Ratchathewi,13.75983,100.54134,Entire home/apt,1937,3,65,2020-01-06,0.48,2,269,0,
27979,Rental unit in Bangkok · 1 bedroom · 2 beds · 1 bath,120541,Emy,,Bang Na,13.66818,100.61674,Private room,1338,1,0,,,2,0,0,
28745,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,123784,Familyroom,,Bang Kapi,13.75232,100.62402,Private room,800,60,0,,,1,0,0,
35780,Rental unit in Bangkok · ★4.75 · 1 bedroom · 1 bed · 1 private bath,153730,Sirilak,,Din Daeng,13.78823,100.57256,Private room,1286,7,4,2023-04-03,0.05,1,358,2,
48736,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,222005,Athitaya,,Rat Burana,13.68556,100.49535,Private room,1585,3,1,2014-02-03,0.01,1,365,0,
55681,"Serviced apartment in Silom, Bangrak · ★4.75 · 1 bedroom · 1 bed · 1 private bath",263049,Tor,,Bang Rak,13.71934,100.5176,Private room,1150,2,29,2023-04-23,0.19,7,306,2,
55686,Hostel in Khet Bang Rak · ★4.79 · 1 bedroom · 1 bed · 1 private bath,263049,Tor,,Sathon,13.71802,100.51539,Hotel room,1384,2,208,2019-12-02,1.38,7,365,0,
59221,Rental unit in Bangkok Huaikhwang · ★2.50 · 1 bedroom · 1 bed · 1 bath,284095,Mimi,,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,2018-07-30,0.02,2,0,0,
61000,Condo in Bangkok · 1 bedroom · 1 bed · 1 bath,294896,Kate,,Bang Phlat,13.78085,100.47526,Entire home/apt,1057,30,2,2021-12-19,0.01,1,365,0,
62217,Home in Phaya Thai District · 1 bedroom · 1 bed · 1 bath,302658,Srisuk,,Phaya Thai,13.79152,100.53982,Private room,4226,1,0,,,1,0,0,
66046,Condo in Anusawari · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,323158,Sue,,Chatu Chak,13.82298,100.56484,Entire home/apt,71797,2,9,2020-03-04,0.09,5,207,0,
105042,Rental unit in Bangkok · ★4.77 · 3 bedrooms · 3 beds · 3.5 baths,545890,Henry,,Khlong Toei,13.73378,100.56303,Entire home/apt,5776,28,148,2020-01-07,1.04,1,327,0,
113744,Rental unit in Bang Pakok · 1 bedroom · 1 bed · 1 bath,578110,Muay,,Rat Burana,13.68568,100.49231,Private room,1409,30,0,,,1,365,0,
